feature,shap_win_mean,shap_loss_mean,shap_diff_mean,u_stat,p_value,bh_significant,abs_diff
close_to_vwap_rolling_min_1,0.0020554215546752697,-0.0005027513430847737,0.0025581728977600434,9373498.5,3.4562527073597316e-187,True,0.0025581728977600434
return_rolling_max_2,0.0038962688402459046,0.001382387245164523,0.0025138815950813817,9222072.0,1.1261535707810189e-166,True,0.0025138815950813817
parkinson_var_rolling_min_4,0.005415269791786681,0.007897865271376621,-0.0024825954795899404,4831363.5,1.649916894109619e-95,True,0.0024825954795899404
buy_ratio_rolling_mean_1,0.0014180022955146722,-0.0010346337345274199,0.0024526360300420923,10381068.5,0.0,True,0.0024526360300420923
log_volume,-0.003793934789515661,-0.0013804940416376902,-0.0024134407478779707,6021039.0,1.8344055582998157e-14,True,0.0024134407478779707
garman_klass_var_rolling_mean_8,0.006779830382955252,0.009061623087953713,-0.002281792704998461,6010495.0,7.390938844334974e-15,True,0.002281792704998461
buy_ratio_rolling_mean_2,0.0011614782880074817,-0.001021728413032146,0.0021832067010396274,9200478.0,7.568239467648754e-164,True,0.0021832067010396274
garman_klass_var_rolling_min_4,0.006214612860816846,0.008397772863281241,-0.002183160002464395,5333328.0,2.63104796201712e-52,True,0.002183160002464395
range_pct_rolling_mean_8,0.006856919526016061,0.008996948582434362,-0.0021400290564183013,5958717.5,7.024582050854537e-17,True,0.0021400290564183013
parkinson_var_rolling_mean_8,0.0036984615287200947,0.005804686744069573,-0.0021062252153494785,6533920.0,0.0428253140749036,False,0.0021062252153494785
range_pct_rolling_mean_2,0.014092440580473037,0.016122212799044678,-0.002029772218571641,6430468.0,0.0015652875837895261,True,0.002029772218571641
